year,week,week_type,team1_name,team1_score,team2_name,team2_score,winner,scraped_at
2022,14,regular,Woody,109.3,The Generous,122.7,The Generous,2025-12-13T17:03:05.223379
2022,14,regular,Maggi's Mighty Ducks,116.48,Killer Cam,109.28,Maggi's Mighty Ducks,2025-12-13T17:03:05.224615
2022,14,regular,The Brotherhood,159.76,cheeseheads,54.86,The Brotherhood,2025-12-13T17:03:05.225054
2022,14,regular,Mebs Militia,81.1,Palm Beach Pelicans,103.56,Palm Beach Pelicans,2025-12-13T17:03:05.225497
2022,14,regular,Wolfpack,125.58,DirtyBirds,122.86,Wolfpack,2025-12-13T17:03:05.225925
2022,14,regular,Rats,125.18,Scrubs,138.12,Scrubs,2025-12-13T17:03:05.226352
2022,15,regular,The Generous,108.0,Killer Cam,128.42,Killer Cam,2025-12-13T17:03:05.659259
2022,15,regular,cheeseheads,120.24,Woody,134.58,Woody,2025-12-13T17:03:05.659948
2022,15,regular,Palm Beach Pelicans,118.5,Maggi's Mighty Ducks,179.2,Maggi's Mighty Ducks,2025-12-13T17:03:05.660273
2022,15,regular,DirtyBirds,103.52,The Brotherhood,123.44,The Brotherhood,2025-12-13T17:03:05.660591
2022,15,regular,Scrubs,125.08,Mebs Militia,105.16,Scrubs,2025-12-13T17:03:05.660909
2022,15,regular,Rats,153.04,Wolfpack,109.86,Rats,2025-12-13T17:03:05.661230
2022,16,playoff,Woody,177.6,Scrubs,78.16,Woody,2025-12-13T17:03:06.100918
2022,16,playoff,Killer Cam,96.9,DirtyBirds,99.6,DirtyBirds,2025-12-13T17:03:06.101809
2022,16,playoff,Rats,116.66,Maggi's Mighty Ducks,128.2,Maggi's Mighty Ducks,2025-12-13T17:03:06.102229
2022,16,playoff,Palm Beach Pelicans,148.4,The Brotherhood,86.56,Palm Beach Pelicans,2025-12-13T17:03:06.102680
2022,17,playoff,Woody,99.2,DirtyBirds,93.02,Woody,2025-12-13T17:03:06.520234
2022,17,playoff,Scrubs,92.4,Killer Cam,133.28,Killer Cam,2025-12-13T17:03:06.521282
2022,17,playoff,Maggi's Mighty Ducks,98.06,Palm Beach Pelicans,69.6,Maggi's Mighty Ducks,2025-12-13T17:03:06.521707
2022,17,playoff,Rats,171.92,The Brotherhood,110.58,Rats,2025-12-13T17:03:06.522167
2023,1,regular,Maggi's Mighty Ducks,90.26,Rats,77.04,Maggi's Mighty Ducks,2025-12-13T17:03:06.950473
2023,1,regular,Killer Cam,115.94,Scrubs,123.24,Scrubs,2025-12-13T17:03:06.951629
2023,1,regular,DirtyBirds,79.0,Woody,115.24,Woody,2025-12-13T17:03:06.952144
2023,1,regular,cheeseheads,90.5,Palm Beach Pelicans,84.52,cheeseheads,2025-12-13T17:03:06.952659
2023,1,regular,Impeached Wolfpack,120.34,The Brotherhood,99.18,Impeached Wolfpack,2025-12-13T17:03:06.953092
